risk_rank,account_key,bank_name,entity_name,risk_score,n_flag_types,f_pass_through,f_cycle_3,f_scatter_gather,f_gather_scatter,f_structuring_24h,f_fan_out,f_fan_in,f_cycle_2,f_structuring_band,f_high_velocity,f_round_amount,f_cross_currency,n_txns_out,n_txns_in,usd_out,usd_in
23,1362_8001E3BE0,Golden Bancorp,Corporation #150,11,6,0,0,0,1,1,1,1,0,1,1,0,0,107,25,74402898.59,5621.96
24,1292_800260000,Savings Bank of Seattle,Partnership #38535,11,6,1,0,0,0,1,1,1,0,1,1,0,0,163,73,1543055.55,130897.21
25,210261_803B8BFC0,Japan Bank #44,Partnership #48855,11,5,1,0,1,0,1,0,1,0,1,0,0,0,38,42,6320361.33,448394.71
26,10099_803D99E70,Japan Bank #46,Corporation #29718,11,5,1,0,1,0,1,1,0,0,1,0,0,0,91,13,5212628.84,32188.28
27,9679_803873790,Japan Bank #8,Corporation #29629,11,5,1,0,0,1,0,1,1,0,0,1,0,0,107,49,1305367.47,72468.42
28,1420_8003CF480,Golden Bancorp,Partnership #3975,11,5,1,0,0,1,0,1,1,0,0,1,0,0,117,32,454487.5,572155.4
29,4_8060C2680,China Bank #3,Corporation #31705,11,5,1,0,0,1,0,1,1,0,0,1,0,0,116,62,414750.01,281547.09
30,701_8013F0350,First Bank of Springfield,Sole Proprietorship #3159,11,5,1,0,1,0,0,1,1,0,1,0,0,0,60,35,365214.35,226473.04
31,29404_8041A3440,Savings Bank of Laramie,Sole Proprietorship #5335,11,5,1,0,0,1,0,1,1,0,1,0,0,0,15,13,121248.16,123998.91
32,119_8000DB3C0,Israel Bank #6,Sole Proprietorship #40502,11,4,1,1,1,0,0,1,0,0,0,0,0,0,63,6,50219.56,32903.31
33,1292_80088A770,Savings Bank of Seattle,Sole Proprietorship #1373,10,5,0,0,0,1,1,1,1,0,1,0,0,0,89,52,197032541.2,46553.37
34,150240_812D22980,Saudi Arabia Bank #68,Corporation #5724,10,5,1,1,0,0,0,0,1,1,1,0,0,0,24,54,259251.01,38912362.64
35,9371_8043A0FB0,Future Bank,Partnership #18484,10,5,0,0,0,1,1,1,1,0,1,0,0,0,40,33,364346.52,37575179.09
36,11318_800825E00,First Bank of Arkadelphia,Corporation #2583,10,5,1,0,0,0,1,1,1,0,0,1,0,0,116,15,22721479.96,355019.56
37,28_8000B8AB0,Australia Bank #0,Partnership #3310,10,5,0,0,0,1,1,1,1,0,0,1,0,0,204,10,20643970.62,131249.35
38,213952_80794B6F0,Savings Bank of Houston,Sole Proprietorship #11549,10,5,0,0,0,1,1,1,1,0,1,0,0,0,48,33,13318560.17,147920.62
39,4503_802DB4AE0,Golden Thrift,Sole Proprietorship #5994,10,5,0,0,0,1,1,1,1,0,0,1,0,0,116,30,5541925.25,48296.92
40,7_807C39FC0,India Bank #25,Corporation #32229,10,5,0,0,0,1,1,1,1,0,1,0,0,0,32,37,3259770.01,8435.26
41,7_807C6D680,India Bank #25,Partnership #34758,10,5,0,0,0,1,1,1,1,0,1,0,0,0,78,26,1949249.15,17130.88
42,1665_80054CAB0,Savings Bank of Los Angeles,Corporation #563,10,5,0,0,1,0,1,1,1,0,1,0,0,0,88,54,945813.96,139722.68
43,148350_812D0C3C0,Saudi Arabia Bank #10,Corporation #4045,10,5,0,1,1,0,0,0,1,1,1,0,0,0,22,50,157193.02,270505.51
44,3514_8014FF4B0,France Bank #28,Partnership #16352,10,5,0,0,0,1,1,1,1,0,1,0,0,0,44,35,172212.6,182401.48
45,1665_8011EEE40,Savings Bank of Los Angeles,Partnership #2934,10,4,1,0,0,1,0,1,1,0,0,0,0,0,64,28,191549715.25,460804.78
46,10_8009CF210,National Bank of Laramie,Corporation #1227,10,4,1,0,0,1,0,1,1,0,0,0,0,0,18,42,9295982.14,53575.4
47,211_808E44B10,UK Bank #29,Sole Proprietorship #6319,10,4,0,0,1,1,0,1,1,0,0,0,0,0,13,30,3034786.14,163803.78
48,12_8010D4440,National Bank of the East,Sole Proprietorship #3911,10,4,1,0,0,1,0,1,1,0,0,0,0,0,12,14,1063543.49,145795.78
49,24941_80918F300,Canada Bank #15,Corporation #15962,10,4,0,0,1,1,0,1,1,0,0,0,0,0,68,57,867159.34,144992.9
50,2454_8027426F0,Spruce Community Bank,Partnership #5628,10,4,1,0,0,1,0,1,1,0,0,0,0,0,59,26,813159.66,67842.15
51,122055_8090B8740,Canada Bank #24,Partnership #7385,10,4,1,0,0,1,0,1,1,0,0,0,0,0,51,24,545505.3,313926.95
52,125906_80C2598A0,National Bank of Miami,Sole Proprietorship #65,10,4,1,0,0,1,0,1,1,0,0,0,0,0,75,44,806734.86,42721.42
53,3_802FF54D0,China Bank #14,Partnership #30485,10,4,1,0,0,1,0,1,1,0,0,0,0,0,43,36,807912.58,26533.46
54,1547_8003D1FC0,Italy Bank #49,Corporation #23674,10,4,1,0,0,1,0,1,1,0,0,0,0,0,70,30,695893.03,37492.7
55,22828_801928280,Bank of Chicago,Partnership #4032,10,4,1,0,1,0,1,1,0,0,0,0,0,0,93,15,365647.1,358791.37
56,223_811A4DBD0,Saudi Arabia Bank #4,Partnership #38226,10,4,1,0,1,0,1,1,0,0,0,0,0,0,60,16,371302.66,323763.04
57,1362_800410C30,Golden Bancorp,Sole Proprietorship #40924,10,4,1,0,1,0,1,1,0,0,0,0,0,0,68,37,207299.97,178968.18
58,19318_8106B1750,China Bank #38,Partnership #31468,10,4,1,0,0,1,0,1,1,0,0,0,0,0,11,29,101580.87,222125.05
59,16649_80614A030,Russia Bank #13,Partnership #33889,10,4,0,0,1,1,0,1,1,0,0,0,0,0,80,38,207644.19,31458.7
60,4403_8022AC5C0,Spruce Trust Bank,Sole Proprietorship #4882,10,4,1,0,0,1,0,1,1,0,0,0,0,0,62,23,159605.6,42926.74
61,23_80017F480,Germany Bank #18,Corporation #20116,10,4,1,0,0,1,0,1,1,0,0,0,0,0,66,27,106485.26,95115.56
62,26302_809DACA80,Canada Bank #51,Corporation #12942,10,4,1,0,0,1,0,1,1,0,0,0,0,0,11,39,40902.03,126144.04
63,12_80052F960,National Bank of the East,Partnership #791,9,5,1,0,0,0,1,1,0,0,1,1,0,0,155,24,1076885003.56,161292.7
64,220_8006F9240,National Bank of Pittsburgh,Sole Proprietorship #20817,9,5,1,0,0,0,1,1,0,0,1,1,0,0,156,24,192782072.56,78837.57
65,7_8047AF8D0,India Bank #25,Partnership #32632,9,5,1,0,0,0,1,1,0,0,1,1,0,0,203,27,152658645.23,130711.01
66,7_80766F800,India Bank #25,Corporation #32241,9,5,1,0,0,0,1,1,0,0,1,1,0,0,130,43,55250808.45,32311.56
67,137218_80DDA3CC0,Switzerland Bank #20,Partnership #3940,9,5,1,0,0,0,1,1,0,0,1,1,0,0,140,26,35583285.59,917099.52
68,228054_80A313CB0,Australia Bank #23,Partnership #17618,9,5,1,0,0,0,1,1,0,0,1,1,0,0,104,12,25112706.32,23894.79
69,6_80A21DAB0,India Bank #0,Sole Proprietorship #35878,9,5,1,0,0,0,1,1,0,0,1,1,0,0,109,21,24662772.56,218842.26
70,220504_8076774B0,UK Bank #20,Partnership #2966,9,5,1,0,0,0,1,1,0,0,1,1,0,0,82,26,453388.37,19402362.78
71,1688_800904590,Arbor Thrift,Sole Proprietorship #1457,9,5,1,0,0,0,1,1,0,0,1,1,0,0,145,13,9190424.25,9707691.97
72,12_80048BB40,National Bank of the East,Sole Proprietorship #47706,9,5,1,0,0,0,1,1,0,0,1,1,0,0,135,32,15521302.13,2528305.71
73,210_809175840,Canada Bank #27,Partnership #5878,9,5,1,0,0,0,1,1,0,0,1,1,0,0,135,15,17481089.7,73822.91
74,1299_800855730,France Bank #40,Corporation #43958,9,5,1,0,0,0,1,1,0,0,1,1,0,0,200,9,13352319.41,215190.22
75,1292_8002BAB10,Savings Bank of Seattle,Sole Proprietorship #1502,9,5,1,0,0,0,1,1,0,0,1,1,0,0,225,22,9594175.81,2692259.3
76,20_80024BAA0,China Bank #6,Sole Proprietorship #22264,9,5,1,0,0,0,1,1,0,0,1,1,0,0,149,29,1579901.01,9379151.8
77,2843_80076C270,Sappo Bancorp,Corporation #45543,9,5,1,0,0,0,1,1,0,0,1,1,0,0,131,11,8629542.13,61554.38
78,29788_8038E2630,China Bank #26,Corporation #28586,9,5,1,0,0,0,1,1,0,0,1,0,1,0,32,16,8414855.63,60765.05
79,211_8064980A0,UK Bank #29,Partnership #34689,9,5,1,0,0,0,1,1,0,0,1,1,0,0,147,16,6278134.45,1444932.65
80,1467_800654B40,Plandor Trust Bank,Partnership #38482,9,5,1,0,0,0,1,1,0,0,1,1,0,0,133,36,5335122.17,305469.78
81,112064_804A9B9C0,India Bank #26,Sole Proprietorship #31783,9,5,1,0,0,0,1,1,0,0,1,1,0,0,121,33,4822905.81,417047.5
82,1467_80027F1C0,Plandor Trust Bank,Corporation #210,9,5,1,0,0,0,1,1,0,0,1,1,0,0,116,32,909667.55,4228827.82
83,220_8001C4E70,National Bank of Pittsburgh,Corporation #38882,9,5,1,0,0,0,1,1,0,0,1,1,0,0,100,28,4766043.35,187919.97
84,10_800119810,National Bank of Laramie,Corporation #40,9,5,1,0,0,0,1,1,0,0,1,1,0,0,156,12,3988981.01,135602.03
85,134920_80CE2CFC0,Brazil Bank #11,Sole Proprietorship #47438,9,5,1,0,0,0,1,1,0,0,1,1,0,0,103,22,277293.7,3811731.67
86,10_800B45480,National Bank of Laramie,Partnership #1804,9,5,1,0,0,0,1,1,0,0,1,1,0,0,91,19,3081761.94,835040.37
87,212_80767EB50,UK Bank #7,Partnership #35509,9,5,1,0,0,0,0,1,1,0,1,1,0,0,97,22,95299.48,3722109.78
88,1502_800511950,Portugal Bank #43,Corporation #20463,9,5,1,0,0,0,1,1,0,0,1,1,0,0,121,33,3627139.39,101451.82
89,3489_801737EE0,Ireland Bank #71,Partnership #24051,9,5,1,0,0,0,1,1,0,0,1,1,0,0,157,37,2216744.56,1469961.94
90,211_807689A80,UK Bank #29,Sole Proprietorship #33865,9,5,1,0,0,0,1,1,0,0,1,1,0,0,115,43,1269480.78,1906008.57
91,23_800124BD0,Germany Bank #18,Partnership #23261,9,5,1,0,0,0,1,1,0,0,1,1,0,0,121,30,1844029.65,1324146.55
92,228054_80A22A770,Australia Bank #23,Corporation #33838,9,5,1,0,0,0,1,1,0,0,1,1,0,0,133,13,2306581.49,779715.64
93,11_800244AE0,Finland Bank #0,Sole Proprietorship #22390,9,5,1,0,0,0,1,1,0,0,1,1,0,0,132,34,2837277.75,147154.65
94,15_8039EDFB0,Japan Bank #0,Partnership #31713,9,5,1,0,0,0,1,1,0,0,1,1,0,0,113,13,2662176.53,280468.52
95,11318_8010BD450,First Bank of Arkadelphia,Sole Proprietorship #2607,9,5,1,0,0,0,1,1,0,0,1,1,0,0,138,54,2448395.08,39781.25
96,1068_800905E00,National Bank of Detroit,Sole Proprietorship #1458,9,5,1,0,0,0,1,1,0,0,1,1,0,0,125,34,1151645.51,1289846.2
97,10_800886480,National Bank of Laramie,Corporation #2230,9,5,1,0,0,0,1,1,0,0,1,1,0,0,114,29,1195870.8,1089302.85
98,21611_8016DEDA0,The Pine Thrift,Partnership #3659,9,5,1,0,0,0,1,1,0,0,1,1,0,0,100,34,927288.49,1263658.99
99,513_8003AA0A0,National Bank of New Orleans,Sole Proprietorship #48087,9,5,1,0,0,0,1,1,0,0,1,1,0,0,77,26,565620.47,1413517.84
100,4_8061EB660,China Bank #3,Corporation #31482,9,5,1,0,0,0,1,1,0,0,1,1,0,0,126,41,931836.29,746017.96
